ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,liquidez_score,cenario,estruturas_sugeridas,score,status,motivo
ITUB4,ITUBR461W4,PUT,46.15,2026-06-26,30,CURTO,6.24,46.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 46.0 ≥ 30 — monitorar confirmação via RTD.
HAPV3,HAPVF175W2,CALL,17.5,2026-06-12,16,CURTO,0.17,45.9,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 45.9 ≥ 30 — monitorar confirmação via RTD.
WEGE3,WEGEB251,CALL,25.03,2027-02-19,268,EXTRA_LONGO,29.46,96.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 96.0 ≥ 30 — monitorar confirmação via RTD.
RENT3,RENTS453,PUT,45.32,2026-07-17,51,MEDIO,3.26,45.9,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.8,MONITORAR_NO_RTD,Liquidez score 45.9 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRI517,CALL,51.19,2026-09-18,114,LONGO,2.0,79.0,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.7,MONITORAR_NO_RTD,Liquidez score 79.0 ≥ 30 — monitorar confirmação via RTD.
SUZB3,SUZBF475W1,CALL,47.5,2026-06-05,9,CURTO,0.13,45.7,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.7,MONITORAR_NO_RTD,Liquidez score 45.7 ≥ 30 — monitorar confirmação via RTD.
SUZB3,SUZBS438,PUT,43.88,2026-07-17,51,MEDIO,2.16,45.7,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.7,MONITORAR_NO_RTD,Liquidez score 45.7 ≥ 30 — monitorar confirmação via RTD.
PRIO3,PRIOE660W5,CALL,66.0,2026-05-29,2,CURTO,3.15,62.2,LATERALIDADE,Monitorar — Iron Condor futuro,58.7,CANDIDATA_PROXIMO_PREGAO,Liquidez score 62.2 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
ITUB4,ITUBF450,CALL,44.69,2026-06-19,23,CURTO,0.09,45.7,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.7,MONITORAR_NO_RTD,Liquidez score 45.7 ≥ 30 — monitorar confirmação via RTD.
HAPV3,HAPVR147,PUT,14.75,2026-06-19,23,CURTO,2.7,45.6,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.7,MONITORAR_NO_RTD,Liquidez score 45.6 ≥ 30 — monitorar confirmação via RTD.
